"","site","pollID","ID","observer","date","position","round","plant_position.x","prev_plant_position.x","orig_plant_position","plot","trmnt","prevtrmnt","flowers","wither_flow","frt_removed","fruitID","coll_year","coll_month","coll_day","plant_position.y","prev_plant_position.y","filled_seeds","shriv_seeds","total_seeds","nofert_ovules","abrt_ovules","total_ovules","seed_counter","CHECK_row_sum","CHECK_total_ovules","row_sum_to_total_ratio","state","county","region","ha","latitude","longitude","type","owner","prop.c","poll_ovules"
"46","braaten","200030","11","adr",2017-08-12,"11","1","br11","NA","br11","hi","hp","NA",3,11,25,"800131","2017","9","12","br11","NA",9,0,9,2,0,11,"mc",11,11,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"47","braaten","200028","10","kmf",2017-08-31,"10","3","br10","NA","br10","hi","hp","NA",5,1,6,"800501","2017","9","19","br10","NA",6,0,6,2,0,8,"mc",8,8,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,6
"48","braaten","200032","11","kmf",2017-08-31,"11","3","br11","NA","br11","hi","hp","NA",7,1,28,"800429","2017","9","19","br11","NA",10,0,10,0,0,10,"ar",10,10,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,10
"49","braaten","200703","242","kmf",2017-08-31,"4","3","br4","replace","br4","hi","op","NA",2,2,15,"800421","2017","9","19","br4","NA",10,0,10,1,0,11,"mc",11,11,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,10
"50","braaten","200039","14","kmf",2017-08-31,"14","3","br14","NA","br14","hi","op","nt",3,4,18,"800504","2017","9","19","br14","NA",9,0,9,1,1,11,"mc",11,11,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,10
"51","braaten","200023","8","kmf",2017-08-31,"8","3","br8","NA","br8","hi","op","NA",6,8,7,"800415","2017","9","19","br8","NA",9,0,9,1,0,10,"mc",10,10,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"52","braaten","200030","11","adr",2017-08-12,"11","1","br11","NA","br11","hi","hp","NA",3,11,25,"800132","2017","9","12","br11","NA",13,0,13,1,0,14,"mc",14,14,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,13
"53","braaten","200032","11","kmf",2017-08-31,"11","3","br11","NA","br11","hi","hp","NA",7,1,28,"800430","2017","9","19","br11","NA",3,0,3,5,0,8,"ar",8,8,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,3
"54","braaten","200032","11","kmf",2017-08-31,"11","3","br11","NA","br11","hi","hp","NA",7,1,28,"800431","2017","9","19","br11","NA",5,0,5,5,0,10,"ar",10,10,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,5
"55","braaten","200032","11","kmf",2017-08-31,"11","3","br11","NA","br11","hi","hp","NA",7,1,28,"800432","2017","9","19","br11","NA",8,0,8,0,1,9,"ar",9,9,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"56","braaten","200019","7","kmf",2017-08-31,"7","3","br7","NA","br7","hi","op","NA",3,1,18,"800428","2017","9","19","br7","NA",12,0,12,1,0,13,"mc",13,13,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,12
"57","braaten","200703","242","kmf",2017-08-31,"4","3","br4","replace","br4","hi","op","NA",2,2,15,"800420","2017","9","19","br4","NA",10,1,11,1,0,12,"mc",12,12,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,11
"58","braaten","200007","3","adr",2017-08-20,"3","2","br3","NA","br3","hi","hp","NA",3,7,24,"800489","2017","9","19","br3","NA",8,0,8,5,0,13,"mc",13,13,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,8
"59","braaten","200023","8","kmf",2017-08-31,"8","3","br8","NA","br8","hi","op","NA",6,8,7,"800419","2017","9","19","br8","NA",9,1,10,1,0,11,"mc",11,11,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,10
"60","braaten","200057","20","kmf",2017-08-31,"6","3","br6","br20","br20","hi","hp","hp",3,5,16,"800488","2017","9","19","br6","br20",10,0,10,0,0,10,"mc",10,10,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,10
"61","braaten","200032","11","kmf",2017-08-31,"11","3","br11","NA","br11","hi","hp","NA",7,1,28,"800433","2017","9","19","br11","NA",9,0,9,1,0,10,"ar",10,10,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"62","braaten","200032","11","kmf",2017-08-31,"11","3","br11","NA","br11","hi","hp","NA",7,1,28,"800434","2017","9","19","br11","NA",5,0,5,3,0,8,"ar",8,8,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,5
"63","braaten","200023","8","kmf",2017-08-31,"8","3","br8","NA","br8","hi","op","NA",6,8,7,"800418","2017","9","19","br8","NA",8,2,10,1,0,11,"mc",11,11,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,10
"64","braaten","200019","7","kmf",2017-08-31,"7","3","br7","NA","br7","hi","op","NA",3,1,18,"800487","2017","9","19","br7","NA",8,2,10,2,0,12,"mc",12,12,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,10
"65","braaten","200053","19","kmf",2017-08-31,"13","3","br13","br19","br19","hi","hp","hp",1,1,4,"800495","2017","9","19","br13","br19",9,0,9,0,0,9,"mc",9,9,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"66","braaten","200019","7","kmf",2017-08-31,"7","3","br7","NA","br7","hi","op","NA",3,1,18,"800486","2017","9","19","br7","NA",10,0,10,2,0,12,"mc",12,12,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,10
"67","grohn","200123","44","kmf",2017-08-23,"14","2","gr14","NA","gr14","hi","hp","NA",4,8,12,"800004","2017","9","13","gr14","NA",8,0,8,6,0,14,"adr",14,14,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,8
"68","grohn","200123","44","kmf",2017-08-23,"14","2","gr14","NA","gr14","hi","hp","NA",4,8,12,"800005","2017","9","13","gr14","NA",9,0,9,2,0,11,"adr",11,11,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,9
"69","grohn","200123","44","kmf",2017-08-23,"14","2","gr14","NA","gr14","hi","hp","NA",4,8,12,"800006","2017","9","13","gr14","NA",9,0,9,4,0,13,"adr",13,13,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,9
"70","grohn","200101","37","kmf",2017-08-14,"7","1","gr7","NA","gr7","hi","hp","NA",2,10,12,"800069","2017","9","13","gr7","NA",10,1,11,0,0,11,"adr",11,11,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,11
"71","grohn","200101","37","kmf",2017-08-14,"7","1","gr7","NA","gr7","hi","hp","NA",2,10,12,"800070","2017","9","13","gr7","NA",9,1,10,0,0,10,"adr",10,10,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,10
"72","grohn","200114","41","kmf",2017-08-23,"11","2","gr11","NA","gr11","hi","hp","NA",5,15,26,"800075","2017","9","13","gr11","NA",14,1,15,0,0,15,"adr",15,15,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,15
"73","grohn","200114","41","kmf",2017-08-23,"11","2","gr11","NA","gr11","hi","hp","NA",5,15,26,"800076","2017","9","13","gr11","NA",13,0,13,3,0,16,"adr",16,16,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,13
"74","grohn","200091","34","kmf",2017-08-14,"4","1","gr4","NA","gr4","hi","op","NA",6,14,27,"800086","2017","9","13","gr4","NA",12,0,12,0,0,12,"adr",12,12,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,12
"75","grohn","200091","34","kmf",2017-08-14,"4","1","gr4","NA","gr4","hi","op","NA",6,14,27,"800087","2017","9","13","gr4","NA",11,0,11,0,0,11,"adr",11,11,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,11
"76","grohn","200124","44","adr",2017-08-30,"14","3","gr14","NA","gr14","hi","hp","NA",2,1,14,"800191","2017","9","21","gr14","NA",11,0,11,0,0,11,"mc",11,11,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,11
"77","grohn","200124","44","adr",2017-08-30,"14","3","gr14","NA","gr14","hi","hp","NA",2,1,14,"800192","2017","9","21","gr14","NA",9,0,9,2,0,11,"mc",11,11,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,9
"78","grohn","200093","34","adr",2017-08-30,"4","3","gr4","NA","gr4","hi","op","NA",1,0,10,"800193","2017","9","21","gr4","NA",9,0,9,1,0,10,"mc",10,10,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,9
"79","grohn","200091","34","kmf",2017-08-14,"4","1","gr4","NA","gr4","hi","op","NA",6,14,27,"800091","2017","9","13","gr4","NA",12,0,12,0,0,12,"adr",12,12,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,12
"80","grohn","200095","35","kmf",2017-08-14,"5","1","gr5","NA","gr5","hi","hp","NA",2,5,36,"800092","2017","9","13","gr5","NA",10,1,11,1,0,12,"adr",12,12,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,11
"81","grohn","200096","35","kmf",2017-08-23,"5","2","gr5","NA","gr5","hi","hp","NA",3,19,20,"800093","2017","9","13","gr5","NA",3,0,3,2,0,5,"adr",5,5,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,3
"82","grohn","200120","43","adr",2017-08-30,"13","3","gr13","NA","gr13","hi","op","nt",1,0,12,"800197","2017","9","21","gr13","NA",10,2,12,0,0,12,"mc",12,12,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,12
"83","grohn","200164","59","adr",2017-08-30,"15","3","gr15","gr29","gr29","hi","hp","nt",4,0,1,"800198","2017","9","21","gr15","gr29",8,0,8,3,0,11,"mc",11,11,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,8
"84","grohn","200164","59","adr",2017-08-30,"15","3","gr15","gr29","gr29","hi","hp","nt",4,0,1,"800199","2017","9","21","gr15","gr29",5,0,5,7,0,12,"mc",12,12,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,5
"85","grohn","200164","59","adr",2017-08-30,"15","3","gr15","gr29","gr29","hi","hp","nt",4,0,1,"800200","2017","9","21","gr15","gr29",11,1,12,1,0,13,"mc",13,13,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,12
"86","grohn","200164","59","adr",2017-08-30,"15","3","gr15","gr29","gr29","hi","hp","nt",4,0,1,"800201","2017","9","21","gr15","gr29",9,1,10,3,0,13,"mc",13,13,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,10
"87","grohn","200130","46","adr",2017-08-30,"6","3","gr6","gr16","gr16","hi","op","op",1,0,3,"800202","2017","9","21","gr6","gr16",11,1,12,0,0,12,"mc",12,12,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,12
"88","grohn","200150","54","adr",2017-08-30,"3","3","gr3","gr24","gr24","hi","hp","nt",2,0,1,"800203","2017","9","21","gr3","gr24",12,1,13,1,0,14,"mc",14,14,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,13
"89","grohn","200150","54","adr",2017-08-30,"3","3","gr3","gr24","gr24","hi","hp","nt",2,0,1,"800204","2017","9","21","gr3","gr24",10,2,12,1,0,13,"mc",13,13,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,12
"90","grohn","200081","31","kmf",2017-08-14,"1","1","gr1","NA","gr1","hi","op","NA",4,15,35,"800102","2017","9","13","gr1","NA",8,0,8,6,0,14,"adr",14,14,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,8
"91","grohn","200082","31","kmf",2017-08-23,"1","2","gr1","NA","gr1","hi","op","NA",2,5,37,"800103","2017","9","13","gr1","NA",6,0,6,7,0,13,"adr",13,13,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,6
"92","grohn","200098","35","adr",2017-09-07,"5","4","gr5","NA","gr5","hi","hp","NA",6,9,16,"800661","2017","9","29","gr5","NA",3,2,5,4,0,9,"",9,9,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,5
"93","grohn","200098","35","adr",2017-09-07,"5","4","gr5","NA","gr5","hi","hp","NA",6,9,16,"800662","2017","9","29","gr5","NA",1,3,4,3,0,7,"",7,7,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,4
"94","grohn","200098","35","adr",2017-09-07,"5","4","gr5","NA","gr5","hi","hp","NA",6,9,16,"800663","2017","9","29","gr5","NA",6,2,8,2,0,10,"",10,10,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,8
"95","grohn","200098","35","adr",2017-09-07,"5","4","gr5","NA","gr5","hi","hp","NA",6,9,16,"800664","2017","9","29","gr5","NA",8,0,8,1,0,9,"",9,9,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,8
"96","grohn","200137","48","adr",2017-09-07,"8","4","gr8","gr18","gr18","hi","hp","op",1,1,8,"800665","2017","9","29","gr8","gr18",9,1,10,1,0,11,"",11,11,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,10
"97","grohn","200107","39","kmf",2017-08-14,"9","1","gr9","NA","gr9","hi","op","NA",1,7,15,"800095","2017","9","13","gr9","NA",9,2,11,1,0,12,"adr",12,12,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,11
"98","grohn","200108","39","kmf",2017-08-23,"9","2","gr9","NA","gr9","hi","op","NA",2,6,19,"800096","2017","9","13","gr9","NA",2,0,2,11,0,13,"adr",13,13,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,2
"99","grohn","200086","32","kmf",2017-08-23,"2","2","gr2","NA","gr2","hi","hp","NA",3,5,20,"800097","2017","9","13","gr2","NA",8,0,8,3,0,11,"adr",11,11,1,"MN","Traverse","west",38.36,45.84275291,-96.51404348,"restoration","Grohn",84,8
