,plot,pollID,uniqueID,observer,plantposition,og.plantposition,trmnt,prevtrmnt,flowers,wither_flow,frt_removed,notes.x,eventID
200127,hi,200455,157,chs,si7,si7,hp,NA,4,8,11,sickly; leaves wilty,100005
200128,hi,200457,158,chs,si8,si8,op,NA,1,15,8,,100005
200129,hi,200461,159,chs,si9,si9,hp,NA,5,7,12,,100005
200130,hi,200465,160,chs,si10,si10,hp,NA,1,6,8,,100005
200131,hi,200469,161,chs,si11,si11,nt,NA,2,7,0,,100005
200132,hi,200473,162,chs,si12,si12,nt,NA,3,8,0,,100005
200133,hi,200477,163,chs,si13,si13,op,NA,3,9,1,,100005
200134,hi,200479,164,chs,si14,si14,op,NA,3,11,1,,100005
200135,hi,200483,165,chs,si15,si15,nt,NA,4,4,3,,100005
200136,low,200510,174,chs,si24,si24,nt,NA,0,0,0,,100005
200137,low,200512,175,chs,si25,si25,op,NA,0,12,0,,100005
200138,low,200514,176,chs,si26,si26,hp,NA,5,9,0,,100005
200139,low,200515,177,chs,si27,si27,hp,NA,3,11,6,,100005
200140,low,200516,178,chs,si28,si28,nt,NA,0,2,5,,100005
200141,low,200487,166,chs,si16,si16,hp,NA,2,3,1,,100005
200142,low,200489,167,chs,si17,si17,nt,NA,3,6,0,replaced,100005
200143,low,200491,168,chs,si18,si18,op,NA,3,2,1,,100005
200144,low,200495,169,chs,si19,si19,nt,NA,0,0,0,,100005
200145,low,200496,170,chs,si20,si20,hp,NA,0,6,0,,100005
200146,low,200500,171,chs,si21,si21,nt,NA,3,11,0,replaced,100005
200147,low,200504,172,chs,si22,si22,hp,NA,0,7,0,,100005
200148,low,200506,173,chs,si23,si23,op,NA,1,5,0,,100005
200149,low,200517,179,chs,si29,si29,op,NA,2,6,19,,100005
200150,low,200518,180,chs,si30,si30,op,NA,3,6,4,,100005
200151,hi,200001,1,adr,br1,br1,op,NA,3,5,27,,100006
200152,hi,200005,2,adr,br2,br2,hp,NA,3,3,29,,100006
200153,hi,200006,3,adr,br3,br3,hp,NA,6,7,7,,100006
200154,hi,200010,4,adr,br4,br4,op,NA,5,0,7,,100006
200155,hi,200011,5,adr,br5,br5,nt,NA,0,5,26,,100006
200156,hi,200015,6,adr,br6,br6,nt,NA,2,2,8,,100006
200157,hi,200017,7,adr,br7,br7,op,NA,8,5,20,,100006
200158,hi,200021,8,adr,br8,br8,op,NA,4,3,38,,100006
200159,hi,200025,9,adr,br9,br9,hp,NA,5,4,2,,100006
200160,hi,200026,10,adr,br10,br10,hp,NA,6,8,46,,100006
200161,hi,200030,11,adr,br11,br11,hp,NA,3,11,25,,100006
200162,hi,200034,12,adr,br12,br12,nt,NA,0,2,0,,100006
200163,hi,200036,13,adr,br13,br13,hp,NA,3,7,19,,100006
200164,hi,200037,14,adr,br14,br14,nt,NA,1,2,1,,100006
200165,hi,200041,15,adr,br15,br15,op,NA,3,5,27,,100006
200166,low,200067,24,adr,br24,br24,op,NA,3,3,10,,100006
200167,low,200069,25,adr,br25,br25,nt,NA,1,5,4,replaced;herbivory,100006
200168,low,200071,26,adr,br26,br26,hp,NA,1,2,15,,100006
200169,low,200073,27,adr,br27,br27,op,NA,6,10,9,replaced;herbivory,100006
200170,low,200075,28,adr,br28,br28,nt,NA,0,0,0,herbivory,100006
200171,low,200045,16,adr,br16,br16,op,NA,5,6,2,,100006
200172,low,200047,17,adr,br17,br17,hp,NA,6,3,9,,100006
200173,low,200049,18,adr,br18,br18,nt,NA,0,3,4,herbivory,100006
200174,low,200051,19,adr,br19,br19,hp,NA,8,11,9,,100006
200175,low,200055,20,adr,br20,br20,hp,NA,2,10,6,replaced;herbivory,100006
200176,low,200059,21,adr,br21,br21,nt,NA,2,2,3,replaced;herbivory,100006
200177,low,200061,22,adr,br22,br22,hp,NA,1,4,13,,100006
200178,low,200063,23,adr,br23,br23,op,NA,4,6,5,,100006
200179,low,200077,29,adr,br29,br29,nt,NA,0,1,3,,100006
200180,low,200079,30,adr,br30,br30,op,NA,1,7,8,replaced;herbivory,100006
200181,hi,200168,61,kmf,ho1,ho1,op,NA,4,10,0,,100007
200182,hi,200172,62,kmf,ho2,ho2,op,NA,1,9,26,,100007
200183,hi,200176,63,kmf,ho3,ho3,hp,NA,0,15,30,,100007
200184,hi,200180,64,kmf,ho4,ho4,op,NA,1,1,14,,100007
200185,hi,200184,65,kmf,ho5,ho5,op,NA,4,9,3,,100007
200186,hi,200188,66,kmf,ho6,ho6,nt,NA,3,8,1,,100007
200187,hi,200192,67,kmf,ho7,ho7,nt,NA,2,5,0,,100007
200188,hi,200194,68,kmf,ho8,ho8,op,NA,6,8,0,,100007
200189,hi,200196,69,kmf,ho9,ho9,hp,NA,0,18,0,,100007
200190,hi,200200,70,kmf,ho10,ho10,nt,NA,2,4,0,,100007
200191,hi,200202,71,kmf,ho11,ho11,hp,NA,6,7,12,,100007
200192,hi,200206,72,kmf,ho12,ho12,hp,NA,2,9,29,,100007
200193,hi,200208,73,kmf,ho13,ho13,nt,NA,4,8,2,,100007
200194,hi,200210,74,kmf,ho14,ho14,hp,NA,3,7,5,,100007
200195,hi,200214,75,kmf,ho15,ho15,nt,NA,0,14,0,,100007
200196,low,200238,84,kmf,ho24,ho24,nt,NA,0,0,0,,100007
200197,low,200240,85,kmf,ho25,ho25,hp,NA,4,8,3,,100007
200198,low,200242,86,kmf,ho26,ho26,nt,NA,2,4,0,,100007
200199,low,200244,87,kmf,ho27,ho27,nt,NA,2,5,1,,100007
200200,low,200248,88,kmf,ho28,ho28,op,NA,6,7,5,,100007
200201,low,200218,76,kmf,ho16,ho16,op,NA,2,17,18,,100007
200202,low,200220,77,kmf,ho17,ho17,hp,NA,3,2,2,,100007
200203,low,200222,78,kmf,ho18,ho18,hp,NA,2,7,1,,100007
200204,low,200226,79,kmf,ho19,ho19,hp,NA,2,3,4,,100007
200205,low,200228,80,kmf,ho20,ho20,hp,NA,2,27,0,,100007
200206,low,200230,81,kmf,ho21,ho21,op,NA,3,1,3,,100007
200207,low,200232,82,kmf,ho22,ho22,nt,NA,2,2,4,,100007
200208,low,200234,83,kmf,ho23,ho23,nt,NA,8,4,14,,100007
200209,low,200252,89,kmf,ho29,ho29,op,NA,6,5,0,,100007
200210,low,200256,90,kmf,ho30,ho30,op,NA,5,16,1,,100007
200211,hi,200081,31,kmf,gr1,gr1,op,NA,4,15,35,,100008
200212,hi,200085,32,kmf,gr2,gr2,hp,NA,1,5,11,,100008
200213,hi,200089,33,kmf,gr3,gr3,op,NA,2,8,17,,100008
200214,hi,200091,34,kmf,gr4,gr4,op,NA,6,14,27,,100008
200215,hi,200095,35,kmf,gr5,gr5,hp,NA,2,5,36,,100008
200216,hi,200099,36,kmf,gr6,gr6,nt,NA,0,0,5,,100008
200217,hi,200101,37,kmf,gr7,gr7,hp,NA,2,10,12,,100008
200218,hi,200105,38,kmf,gr8,gr8,nt,NA,0,7,10,,100008
200219,hi,200107,39,kmf,gr9,gr9,op,NA,1,7,15,,100008
200220,hi,200111,40,kmf,gr10,gr10,op,NA,4,8,7,,100008
200221,hi,200113,41,kmf,gr11,gr11,hp,NA,2,14,10,,100008
200222,hi,200117,42,kmf,gr12,gr12,nt,NA,NA,NA,NA,plant eaten; replaced by Alan later that day,100008
200223,hi,200118,43,kmf,gr13,gr13,nt,NA,0,0,0,,100008
200224,hi,200122,44,kmf,gr14,gr14,hp,NA,0,7,5,,100008
200225,hi,200126,45,kmf,gr15,gr15,nt,NA,0,7,19,,100008
200226,low,200148,54,kmf,gr24,gr24,nt,NA,0,4,13,,100008
200227,low,200152,55,kmf,gr25,gr25,op,NA,5,9,24,,100008
200228,low,200154,56,kmf,gr26,gr26,hp,NA,1,9,2,,100008
200229,low,200156,57,kmf,gr27,gr27,op,NA,3,3,16,,100008
200230,low,200160,58,kmf,gr28,gr28,nt,NA,0,3,9,,100008
200231,low,200128,46,kmf,gr16,gr16,op,NA,6,10,14,,100008
200232,low,200132,47,kmf,gr17,gr17,nt,NA,0,5,8,,100008
200233,low,200134,48,kmf,gr18,gr18,op,NA,4,14,16,,100008
200234,low,200138,49,kmf,gr19,gr19,hp,NA,2,9,7,,100008
200235,low,200140,50,kmf,gr20,gr20,nt,NA,0,3,5,,100008
200236,low,200142,51,kmf,gr21,gr21,op,NA,7,10,16,,100008
200237,low,200144,52,kmf,gr22,gr22,hp,NA,3,6,10,,100008
200238,low,200146,53,kmf,gr23,gr23,hp,NA,2,11,31,,100008
200239,low,200162,59,kmf,gr29,gr29,hp,NA,5,11,3,,100008
200240,low,200166,60,kmf,gr30,gr30,nt,NA,1,4,10,,100008
200241,hi,200751,283,adr//aw,ny1,ny1,nt,NA,0,4,1,,100009
200242,hi,200752,284,adr//aw,ny2,ny2,op,NA,0,6,0,,100009
200243,hi,200753,285,adr//aw,ny3,ny3,op,NA,3,7,2,,100009
200244,hi,200754,286,adr//aw,ny4,ny4,hp,NA,1,4,0,,100009
200245,hi,200755,287,adr//aw,ny5,ny5,op,NA,3,4,0,,100009
200246,hi,200756,288,adr//aw,ny6,ny6,hp,NA,7,14,0,,100009
200247,hi,200757,289,adr//aw,ny7,ny7,hp,NA,4,17,10,,100009
200248,hi,200758,290,adr//aw,ny8,ny8,nt,NA,1,2,3,,100009
200249,hi,200759,291,adr//aw,ny9,ny9,nt,NA,0,4,7,,100009
200250,hi,200760,292,adr//aw,ny10,ny10,nt,NA,0,5,5,,100009
200251,hi,200761,293,adr//aw,ny11,ny11,op,NA,3,10,6,,100009
200252,hi,200762,294,adr//aw,ny12,ny12,op,NA,0,11,11,,100009
200253,hi,200763,295,adr//aw,ny13,ny13,hp,NA,5,7,5,,100009
200254,hi,200764,296,adr//aw,ny14,ny14,nt,NA,0,3,8,,100009
200255,hi,200765,297,adr//aw,ny15,ny15,hp,NA,5,14,4,,100009
200256,low,200766,298,adr//aw,ny16,ny16,nt,NA,1,5,11,,100009
200257,low,200767,299,adr//aw,ny17,ny17,nt,NA,0,3,4,,100009
200258,low,200768,300,adr//aw,ny18,ny18,nt,NA,1,0,1,,100009
200259,low,200769,301,adr//aw,ny19,ny19,hp,NA,5,7,10,,100009
200260,low,200770,302,adr//aw,ny20,ny20,op,NA,2,3,7,,100009
200261,low,200771,303,adr//aw,ny21,ny21,nt,NA,0,5,6,,100009
200262,low,200772,304,adr//aw,ny22,ny22,hp,NA,3,8,2,,100009
200263,low,200773,305,adr//aw,ny23,ny23,op,NA,1,3,2,,100009
200264,low,200774,306,adr//aw,ny24,ny24,op,NA,3,12,9,,100009
200265,low,200775,307,adr//aw,ny25,ny25,hp,NA,7,2,5,,100009
200266,low,200776,308,adr//aw,ny26,ny26,nt,NA,1,2,2,,100009
200267,low,200777,309,adr//aw,ny27,ny27,op,NA,2,5,9,,100009
200268,low,200778,310,adr//aw,ny28,ny28,op,NA,3,10,3,,100009
200269,low,200779,311,adr//aw,ny29,ny29,hp,NA,2,4,3,,100009
200270,low,200780,312,adr//aw,ny30,ny30,hp,NA,1,7,12,,100009
200271,hi,200721,253,chs,he1,he1,nt,NA,0,3,0,,100010
200272,hi,200722,254,chs,he2,he2,nt,NA,0,0,0,,100010
200273,hi,200723,255,chs,he3,he3,op,NA,2,3,6,,100010
200274,hi,200724,256,chs,he4,he4,nt,NA,0,0,0,,100010
200275,hi,200725,257,chs,he5,he5,op,NA,1,2,14,,100010
200276,hi,200726,258,chs,he6,he6,hp,NA,0,2,4,,100010
200277,hi,200727,259,chs,he7,he7,op,NA,1,2,3,,100010
200278,hi,200728,260,chs,he8,he8,hp,NA,9,28,29,,100010
200279,hi,200729,261,chs,he9,he9,nt,NA,5,2,0,,100010
200280,hi,200730,262,chs,he10,he10,op,NA,4,22,1,,100010
200281,hi,200731,263,chs,he11,he11,op,NA,0,3,6,,100010
200282,hi,200732,264,chs,he12,he12,hp,NA,2,5,1,,100010
200283,hi,200733,265,chs,he13,he13,hp,NA,0,5,4,,100010
200284,hi,200734,266,chs,he14,he14,hp,NA,0,1,4,,100010
200285,hi,200735,267,chs,he15,he15,nt,NA,0,0,0,,100010
200286,low,200736,268,chs,he16,he16,op,NA,8,4,0,,100010
200287,low,200737,269,chs,he17,he17,hp,NA,1,3,1,,100010
200288,low,200738,270,chs,he18,he18,op,NA,4,7,0,,100010
200289,low,200739,271,chs,he19,he19,op,NA,2,9,1,,100010
200290,low,200740,272,chs,he20,he20,nt,NA,0,0,1,,100010
200291,low,200741,273,chs,he21,he21,op,NA,5,6,0,,100010
200292,low,200742,274,chs,he22,he22,nt,NA,1,1,0,,100010
200293,low,200743,275,chs,he23,he23,hp,NA,3,6,0,,100010
200294,low,200744,276,chs,he24,he24,op,NA,2,2,0,,100010
200295,low,200745,277,chs,he25,he25,nt,NA,1,1,0,,100010
200296,low,200746,278,chs,he26,he26,nt,NA,1,1,15,,100010
200297,low,200747,279,chs,he27,he27,hp,NA,3,10,6,,100010
200298,low,200748,280,chs,he28,he28,hp,NA,2,5,4,,100010
200299,low,200749,281,chs,he29,he29,nt,NA,3,0,0,,100010
200300,low,200750,282,chs,he30,he30,hp,NA,2,2,5,,100010
200301,hi,200259,91,kmf,ne1,ne1,hp,NA,3,3,15,,100011
200302,hi,200271,94,kmf,ne4,ne4,nt,NA,1,1,8,,100011
200303,hi,200275,95,kmf,ne5,ne5,hp,NA,3,5,15,,100011
200304,hi,200263,92,kmf,ne2,ne2,op,NA,1,11,20,,100011
200305,hi,200267,93,kmf,ne3,ne3,hp,NA,1,3,21,,100011
200306,low,200315,106,kmf,ne16,ne16,nt,NA,0,3,0,,100011
200307,low,200317,107,kmf,ne17,ne17,op,NA,1,2,0,,100011
200308,low,200319,108,kmf,ne18,ne18,hp,NA,2,5,17,,100011
200309,low,200321,109,kmf,ne19,ne19,hp,NA,0,0,10,,100011
200310,low,200323,110,kmf,ne20,ne20,nt,NA,0,3,1,,100011
200311,low,200325,111,kmf,ne21,ne21,op,NA,0,1,9,,100011
200312,low,200327,112,kmf,ne22,ne22,nt,NA,1,2,3,,100011
200313,low,200329,113,kmf,ne23,ne23,hp,NA,2,3,11,,100011
200314,low,200331,114,kmf,ne24,ne24,op,NA,1,1,2,,100011
200315,low,200335,115,kmf,ne25,ne25,op,NA,0,2,5,,100011
200316,low,200337,116,kmf,ne26,ne26,hp,NA,0,0,3,,100011
200317,low,200339,117,kmf,ne27,ne27,nt,NA,2,3,7,,100011
200318,low,200341,118,kmf,ne28,ne28,op,NA,0,2,8,,100011
200319,low,200343,119,kmf,ne29,ne29,nt,NA,1,4,2,,100011
200320,low,200345,120,kmf,ne30,ne30,hp,NA,0,0,3,,100011
200321,hi,200291,99,kmf,ne9,ne9,op,NA,0,1,10,,100011
200322,hi,200295,100,kmf,ne10,ne10,op,NA,5,5,10,,100011
200323,hi,200299,101,kmf,ne11,ne11,nt,NA,0,3,5,,100011
200324,hi,200303,102,kmf,ne12,ne12,nt,NA,0,2,7,,100011
200325,hi,200305,103,kmf,ne13,ne13,nt,NA,0,0,3,,100011
200326,hi,200309,104,kmf,ne14,ne14,op,NA,1,3,22,,100011
200327,hi,200313,105,kmf,ne15,ne15,nt,NA,0,4,1,,100011
200328,hi,200283,97,kmf,ne7,ne7,hp,NA,0,3,15,,100011
200329,hi,200287,98,kmf,ne8,ne8,op,NA,0,3,19,,100011
200330,hi,200279,96,kmf,ne6,ne6,hp,NA,3,2,9,,100011
200331,hi,200349,121,adr,ru1,ru1,nt,NA,3,5,0,,100012
200332,hi,200361,124,adr,ru4,ru4,nt,NA,2,2,5,,100012
200333,hi,200366,126,adr,ru6,ru6,hp,NA,5,4,8,,100012
200334,hi,200353,122,adr,ru2,ru2,hp,NA,3,4,3,,100012
200335,hi,200357,123,adr,ru3,ru3,nt,NA,0,2,0,,100012
200336,low,200404,136,adr,ru16,ru16,nt,NA,0,0,0,,100012
200337,low,200406,137,adr,ru17,ru17,op,NA,3,1,4,,100012
200338,low,200408,138,adr,ru18,ru18,nt,NA,1,2,2,,100012
200339,low,200410,139,adr,ru19,ru19,nt,NA,3,5,7,,100012
200340,low,200412,140,adr,ru20,ru20,op,NA,1,3,9,,100012
200341,low,200414,141,adr,ru21,ru21,nt,NA,1,1,8,,100012
200342,low,200416,142,adr,ru22,ru22,op,NA,3,8,18,,100012
200343,low,200418,143,adr,ru23,ru23,hp,NA,2,5,28,,100012
200344,low,200420,144,adr,ru24,ru24,hp,NA,2,2,12,,100012
200345,low,200422,145,adr,ru25,ru25,hp,NA,2,3,3,,100012
200346,low,200424,146,adr,ru26,ru26,hp,NA,6,8,12,,100012
200347,low,200426,147,adr,ru27,ru27,hp,NA,2,4,11,,100012
200348,low,200430,148,adr,ru28,ru28,nt,NA,2,0,1,,100012
200349,low,200432,149,adr,ru29,ru29,op,NA,3,2,17,,100012
200350,low,200434,150,adr,ru30,ru30,op,NA,6,0,9,,100012
200351,hi,200382,130,adr,ru10,ru10,op,NA,4,5,1,,100012
200352,hi,200386,131,adr,ru11,ru11,nt,NA,0,0,0,,100012
200353,hi,200390,132,adr,ru12,ru12,op,NA,4,1,4,,100012
200354,hi,200394,133,adr,ru13,ru13,hp,NA,6,1,3,,100012
200355,hi,200398,134,adr,ru14,ru14,nt,NA,1,2,2,,100012
200356,hi,200400,135,adr,ru15,ru15,op,NA,2,6,8,,100012
200357,hi,200712,246,adr,ru5,ru5,hp,NA,7,4,15,replaced,100012
200358,hi,200374,128,adr,ru8,ru8,op,NA,2,3,2,,100012
200359,hi,200378,129,adr,ru9,ru9,op,NA,2,2,9,,100012
200360,hi,200370,127,adr,ru7,ru7,hp,NA,2,2,16,,100012
200361,hi,200002,1,adr,br1,br1,op,NA,1,1,17,,100013
200362,hi,200016,6,adr,br6,br6,nt,NA,0,2,7,,100013
200363,hi,200018,7,adr,br7,br7,op,NA,1,4,21,has rd1 frt,100013
200364,hi,200007,3,adr,br3,br3,hp,NA,3,7,24,has rd1 frt,100013
200365,hi,200012,5,adr,br5,br5,nt,NA,0,2,9,,100013
200366,low,200046,16,adr,br16,br16,op,NA,1,6,17,,100013
200367,low,200048,17,adr,br17,br17,nt,hp,0,0,0,swapped from hp to nt,100013
200368,low,200050,18,adr,br18,br18,hp,nt,1,1,4,swapped from nt to hp,100013
200369,low,200052,19,adr,br19,br19,hp,NA,0,0,6,has rd1 frt,100013
